[17:38:25.743][INFO] Process asset bundle 'UI/UIForms/UILogin/UILogin' for 'Windows' complete.
[17:38:25.743][INFO] Start process asset bundle 'UI/UIForms/UIMain/UIMain' for 'Windows'...
[17:38:25.745][INFO] Process asset bundle 'UI/UIForms/UIMain/UIMain' for 'Windows' complete.
[17:38:25.746][INFO] Start process asset bundle 'UI/UIForms/UpdateResource' for 'Windows'...
[17:38:25.895][INFO] Process asset bundle 'UI/UIForms/UpdateResource' for 'Windows' complete.
[17:38:25.898][INFO] Process updatable version list for 'Windows' complete, updatable version list path is 'E:/GFProject/GFProject/AB/Full/0_1_9/Windows/GameFrameworkVersion.207d3d84.dat', length is '2878', hash code is '545078660[0x207D3D84]', zip length is '1578', zip hash code is '-254422989[0xF0D5D033]'.
[17:38:25.898][INFO] Execute build event handler 'OnOutputUpdatableVersionListData' for 'Windows'...
[17:38:25.898][INFO] Process read only version list for 'Windows' complete.
[17:38:25.898][INFO] Execute build event handler 'OnPostprocessPlatform' for 'Windows'...
[17:38:25.902][INFO] Build resources for 'Windows' success.
[17:38:25.902][INFO] Execute build event handler 'OnPostprocessAllPlatforms'...
[17:38:25.903][INFO] Build resources for selected platforms complete.
